
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/Netherlands/NoordBrabant_3/2020,EPI_ISL_414429,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-02,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_1/2020,EPI_ISL_414428,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-02,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Limburg_4/2020,EPI_ISL_414426,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Limburg,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Limburg_3/2020,EPI_ISL_414425,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Limburg,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Limburg_2/2020,EPI_ISL_414424,GISAID,,Complete,29786,Low,200/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Limburg,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Gelderland_1/2020,EPI_ISL_414423,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-02,Netherlands / Gelderland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Australia/QLD09/2020,EPI_ISL_414414,GISAID,,Complete,29864,High,0/0/0/6/NO,Homo sapiens,2020-02-29,Australia / Queensland / Gold Coast,Pathology Queensland,2020-03-12,Public Health Virology Laboratory
hCoV-19/Iran/12Bj/2020,EPI_ISL_414475,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-03-01,Iran / Tehran,Iran National Influenza Center,2020-03-12,Iran National Influenza Center
hCoV-19/USA/NY1-PV08001/2020,EPI_ISL_414476,GISAID,,Complete,29903,High,1/0/0/8/NO,Homo sapiens,2020-02-29,United States / New York,MSHS Clinical Microbiology Laboratories,2020-03-12,MSHS Pathogen Surveillance Program
hCoV-19/Czech Republic/951/2020,EPI_ISL_414477,GISAID,,Complete,29622,Low,21/0/NA/NA/NA,Homo sapiens,2020-03-01,Czech Republic / Usti nad Labem,The National Institute of Public Health Center for Epidemiology and Microbiology,2020-03-12,State Veterinary Institute Prague
hCoV-19/USA/WA-UW18/2020,EPI_ISL_414366,GISAID,,Complete,29897,High,0/0/0/5/NO,Homo sapiens,2020-03-05,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/USA/WA-UW15/2020,EPI_ISL_414363,GISAID,,Complete,29903,High,0/0/0/8/YES,Homo sapiens,2020-03-04,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/USA/WA-UW21/2020,EPI_ISL_414369,GISAID,,Complete,29890,High,1/0/0/11/YES,Homo sapiens,2020-03-05,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/USA/WA-UW20/2020,EPI_ISL_414368,GISAID,,Complete,29890,High,0/0/0/6/NO,Homo sapiens,2020-03-05,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/USA/WA-UW19/2020,EPI_ISL_414367,GISAID,,Complete,29745,High,0/0/1/9/YES,Homo sapiens,2020-03-05,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/USA/WA-UW17/2020,EPI_ISL_414365,GISAID,,Partial,29632,Low,26/0/NA/NA/NA,Homo sapiens,2020-03-06,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/USA/WA-UW16/2020,EPI_ISL_414364,GISAID,,Partial,29572,Low,75/0/NA/NA/NA,Homo sapiens,2020-03-05,United States / Washington,UW Virology Lab,2020-03-11,UW Virology Lab
hCoV-19/Germany/NRW-04/2020,EPI_ISL_414499,GISAID,,Complete,29903,High,0/1/0/4/NO,Homo sapiens,2020-02-26,Germany / North Rhine Westphalia / Heinsberg District,"Center of Medical Microbiology, Virology, and Hospital Hygiene",2020-03-12,"Center of Medical Microbiology, Virology, and Hospital Hygiene"
hCoV-19/Germany/NRW-03/2020,EPI_ISL_414498,GISAID,,Complete,29903,Low,292/0/NA/NA/NA,Homo sapiens,2020-02-26,Germany / North Rhine Westphalia / Heinsberg District,"Center of Medical Microbiology, Virology, and Hospital Hygiene",2020-03-12,"Center of Medical Microbiology, Virology, and Hospital Hygiene"
hCoV-19/Germany/NRW-02.1/2020,EPI_ISL_414497,GISAID,,Complete,29903,High,3/0/0/2/NO,Homo sapiens,2020-02-25,Germany / North Rhine Westphalia / Heinsberg District,"Center of Medical Microbiology, Virology, and Hospital Hygiene",2020-03-12,"Center of Medical Microbiology, Virology, and Hospital Hygiene"
hCoV-19/Wales/PHW05/2020,EPI_ISL_414488,GISAID,,Partial,29611,Low,558/0/NA/NA/NA,Homo sapiens,2020-03-08,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-12,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW03/2020,EPI_ISL_414486,GISAID,,Complete,29782,Low,557/0/NA/NA/NA,Homo sapiens,2020-03-07,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-12,Public Health Wales Microbiology Cardiff
hCoV-19/Ireland/COR-20134/2020,EPI_ISL_414487,GISAID,,Complete,29782,High,0/0/0/0/NO,Homo sapiens,2020-03-04,Ireland / Cork,UCD National Virus Reference Laboratory,2020-03-12,UCD National Virus Reference Laboratory
hCoV-19/England/Sheff02/2020,EPI_ISL_414501,GISAID,,Complete,29782,Low,271/0/NA/NA/NA,Homo sapiens,2020-03-03,United Kingdom / England / Yorkshire / Sheffield,"Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust",2020-03-12,"Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute,  The Medical School, University of Sheffield"
hCoV-19/England/Sheff01/2020,EPI_ISL_414500,GISAID,,Complete,29782,High,1/0/0/1/NO,Homo sapiens,2020-03-04,United Kingdom / England / Yorkshire / Sheffield,"Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust",2020-03-12,"Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute,  The Medical School, University of Sheffield"
2019-nCoV/USA-CruiseA-21/2020,MT184908,GenBank,EPI_ISL_414480,Complete,29880,High,0/2/0/5/NO,Homo sapiens,2020-02-21,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
2019-nCoV/USA-CruiseA-22/2020,MT184909,GenBank,EPI_ISL_414481,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-21,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
2019-nCoV/USA-CruiseA-23/2020,MT184910,GenBank,EPI_ISL_414482,Complete,29882,High,0/1/0/7/NO,Homo sapiens,2020-02-18,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
2019-nCoV/USA-CruiseA-24/2020,MT184911,GenBank,EPI_ISL_414483,Complete,29882,High,0/6/0/10/NO,Homo sapiens,2020-02-17,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
2019-nCoV/USA-CruiseA-25/2020,MT184912,GenBank,EPI_ISL_414484,Complete,29882,High,0/0/0/1/NO,Homo sapiens,2020-02-17,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
2019-nCoV/USA-CruiseA-26/2020,MT184913,GenBank,EPI_ISL_414485,Complete,29882,High,0/4/0/6/NO,Homo sapiens,2020-02-24,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
hCoV-19/England/200641094/2020,EPI_ISL_414040,GISAID,,Complete,29900,High,0/2/1/3/NO,Homo sapiens,2020-02-05,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-11,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/200690245/2020,EPI_ISL_414041,GISAID,,Complete,29900,High,0/1/1/2/NO,Homo sapiens,2020-02-08,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-11,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/200690300/2020,EPI_ISL_414042,GISAID,,Complete,29900,High,0/1/1/2/NO,Homo sapiens,2020-02-08,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-11,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/200690306/2020,EPI_ISL_414043,GISAID,,Complete,29900,High,0/1/1/2/NO,Homo sapiens,2020-02-07,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-11,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/200690756/2020,EPI_ISL_414044,GISAID,,Complete,29900,High,0/2/1/3/NO,Homo sapiens,2020-02-08,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-11,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/Iran/Qom257540/2020,EPI_ISL_414373,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-02-16,Iran / Qom,Iran National Influenza Center,2020-03-11,Iran National Influenza Center
hCoV-19/Iran/Qom257524/2020,EPI_ISL_414372,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-02-17,Iran / Qom,Iran National Influenza Center,2020-03-11,Iran National Influenza Center
hCoV-19/Iran/Qom257526/2020,EPI_ISL_414374,GISAID,,Partial,400,High,0/0/NA/NA/NA,Homo sapiens,2020-02-17,Iran / Qom,Iran National Influenza Center,2020-03-11,Iran National Influenza Center
hCoV-19/Indonesia/NIHRD651/2020,EPI_ISL_414375,GISAID,,Partial,387,High,0/0/NA/NA/NA,Homo sapiens,2020-03-01,Indonesia / Depok,National Institute of Health Research and Development,2020-03-12,National Institute of Health Research and Development
hCoV-19/Iran/Qom257039/2020,EPI_ISL_414371,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-02-16,Iran / Qom,Iran National Influenza Center,2020-03-11,Iran National Influenza Center
hCoV-19/Singapore/12/2020,EPI_ISL_414378,GISAID,,Complete,29463,High,0/0/1/5/NO,Homo sapiens,2020-02-17,Singapore,National Centre for Infectious Diseases,2020-03-12,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
hCoV-19/Singapore/13/2020,EPI_ISL_414379,GISAID,,Complete,29462,High,0/0/1/4/NO,Homo sapiens,2020-02-18,Singapore,National Centre for Infectious Diseases,2020-03-12,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
hCoV-19/Singapore/14/2020,EPI_ISL_414380,GISAID,,Complete,29463,High,0/0/1/2/NO,Homo sapiens,2020-02-19,Singapore,National Centre for Infectious Diseases,2020-03-12,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
hCoV-19/Netherlands/ZuidHolland_11/2020,EPI_ISL_414469,GISAID,,Complete,29786,Low,206/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_14/2020,EPI_ISL_414471,GISAID,,Complete,29775,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-05,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_13/2020,EPI_ISL_414470,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-06,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_6/2020,EPI_ISL_414466,GISAID,,Complete,29786,Low,781/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_7/2020,EPI_ISL_414467,GISAID,,Complete,29780,High,0/0/2/4/NO,Homo sapiens,2020-03-05,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_8/2020,EPI_ISL_414468,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-06,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_5/2020,EPI_ISL_414465,GISAID,,Complete,29786,Low,416/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_14/2020,EPI_ISL_414464,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_13/2020,EPI_ISL_414463,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_6/2020,EPI_ISL_414461,GISAID,,Complete,29786,Low,203/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_12/2020,EPI_ISL_414462,GISAID,,Complete,29783,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Overijssel_2/2020,EPI_ISL_414460,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Overijssel,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_19/2020,EPI_ISL_414459,GISAID,,Complete,29783,Low,1373/0/NA/NA/NA,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_16/2020,EPI_ISL_414456,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_18/2020,EPI_ISL_414458,GISAID,,Complete,29783,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-05,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_17/2020,EPI_ISL_414457,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_13/2020,EPI_ISL_414453,GISAID,,Complete,29786,Low,422/0/NA/NA/NA,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_15/2020,EPI_ISL_414455,GISAID,,Complete,29786,Low,392/0/NA/NA/NA,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_14/2020,EPI_ISL_414454,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-05,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_4/2020,EPI_ISL_414450,GISAID,,Complete,29786,Low,391/0/NA/NA/NA,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_12/2020,EPI_ISL_414452,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_6/2020,EPI_ISL_414451,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-06,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/NoordBrabant_2/2020,EPI_ISL_414449,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Limburg_5/2020,EPI_ISL_414448,GISAID,,Complete,29786,Low,201/0/NA/NA/NA,Homo sapiens,2020-03-04,Netherlands / Limburg,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_10/2020,EPI_ISL_414446,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-03,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_1/2020,EPI_ISL_414444,GISAID,,Complete,29786,Low,200/0/NA/NA/NA,Homo sapiens,2020-03-02,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_10/2020,EPI_ISL_414442,GISAID,,Complete,29786,Low,86/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland_9/2020,EPI_ISL_414445,GISAID,,Complete,29786,High,0/0/0/9/NO,Homo sapiens,2020-03-03,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_11/2020,EPI_ISL_414443,GISAID,,Complete,29786,High,0/0/0/4/NO,Homo sapiens,2020-03-03,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_8/2020,EPI_ISL_414441,GISAID,,Complete,29786,Low,200/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_7/2020,EPI_ISL_414440,GISAID,,Complete,29786,Low,200/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_5/2020,EPI_ISL_414439,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-02,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_4/2020,EPI_ISL_414438,GISAID,,Complete,29786,Low,200/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_3/2020,EPI_ISL_414437,GISAID,,Complete,29786,Low,200/0/NA/NA/NA,Homo sapiens,2020-03-03,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-12,Erasmus Medical Center
TKYE6182_2020,LC529905,GenBank,EPI_ISL_414511,Complete,29903,High,0/0/0/3/NO,Homo sapiens,2020-01,Japan,,2020-03-04,"Tokyo Metropolitan Institute of Public Health, Department of Microbiology"
2019-nCoV/USA-CruiseA-19/2020,MT184907,GenBank,EPI_ISL_414479,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-18,United States,,2020-03-12,"Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA"
hCoV-19/Guangdong/GD2020246-P0028/2020,EPI_ISL_413864,GISAID,,Complete,29903,High,0/0/0/2/NO,Homo sapiens,2020-02-09,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020086-P0021/2020,EPI_ISL_413862,GISAID,,Complete,29903,Low,17/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020080-P0010/2020,EPI_ISL_413861,GISAID,,Complete,29903,High,0/0/0/2/NO,Homo sapiens,2020-02-01,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4273-P0036/2020,EPI_ISL_413860,GISAID,,Complete,29903,High,6/0/0/4/NO,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4276-P0037/2020,EPI_ISL_413859,GISAID,,Complete,29903,Low,1044/0/NA/NA/NA,Homo sapiens,2020-01-31,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4459-P0041/2020,EPI_ISL_413858,GISAID,,Complete,29903,High,2/0/0/2/NO,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4448-P0002/2020,EPI_ISL_413857,GISAID,,Complete,29903,High,0/0/0/5/NO,Homo sapiens,2020-01-31,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020233-P0027/2020,EPI_ISL_413856,GISAID,,Complete,29903,Low,75/0/NA/NA/NA,Homo sapiens,2020-02-07,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/DG-S9-P0045/2020,EPI_ISL_413868,GISAID,,Partial,29903,Low,2479/0/NA/NA/NA,Homo sapiens,2020-02-28,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020234-P0023/2020,EPI_ISL_413855,GISAID,,Complete,29903,Low,132/2/NA/NA/NA,Homo sapiens,2020-02-07,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4475-P0042/2020,EPI_ISL_413854,GISAID,,Complete,29903,High,0/0/0/3/NO,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4243-P0035/2020,EPI_ISL_413853,GISAID,,Complete,29903,High,0/0/0/4/NO,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GDFS2020054-P0005/2020,EPI_ISL_413850,GISAID,,Complete,29903,Low,1359/3/NA/NA/NA,Homo sapiens,2020-02-10,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GDSZ202008-P0020/2020,EPI_ISL_413866,GISAID,,Complete,29903,Low,296/1/NA/NA/NA,Homo sapiens,2020-02-05,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4433-P0040/2020,EPI_ISL_413852,GISAID,,Complete,29903,Low,56/2/NA/NA/NA,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4291-P0038/2020,EPI_ISL_413889,GISAID,,Complete,29903,Low,811/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/2020XN4239-P0034/2020,EPI_ISL_413888,GISAID,,Complete,29903,Low,543/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020115-P0009/2020,EPI_ISL_413884,GISAID,,Complete,29903,Low,273/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020134-P0031/2020,EPI_ISL_413883,GISAID,,Complete,29903,Low,2445/0/NA/NA/NA,Homo sapiens,2020-02-02,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GD2020139-P0007/2020,EPI_ISL_413882,GISAID,,Complete,29903,Low,555/0/NA/NA/NA,Homo sapiens,2020-02-02,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/GDFS2020127-P0026/2020,EPI_ISL_413874,GISAID,,Complete,29903,Low,1074/0/NA/NA/NA,Homo sapiens,2020-02-12,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/SZ-N59-P0049/2020,EPI_ISL_413872,GISAID,,Complete,29903,Low,1105/0/NA/NA/NA,Homo sapiens,2020-02-28,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
hCoV-19/Guangdong/MM-S1-P0048/2020,EPI_ISL_413871,GISAID,,Partial,29903,Low,2705/0/NA/NA/NA,Homo sapiens,2020-02-28,China / Guangdong,"Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention",2020-03-09,Guangdong Provincial Institution of Public Health
